"","Palabra","negative","positive","positivo","negativo"
"5507","cumple",0,0,1,0
"5508","con",0,0,0,0
"5509","todas",0,0,0,0
"5510","mis",0,0,0,0
"5511","expectativas",0,0,0,0
"5512","es",0,0,0,0
"5513","intuitivo",0,1,1,0
"5514","y",0,0,0,0
"5515","calidad",0,0,0,0
"5516","muy",1,0,0,0
"5517","buena",0,0,1,0
"5518","como",0,0,0,0
"5519","todo",0,0,0,0
"5520","lo",0,0,0,0
"5521","apple",0,0,0,0
"5522","quiz",0,0,0,0
"5523","s",0,0,0,0
"5524","la",0,0,0,0
"5525","memoria",0,0,0,0
"5526","del",0,0,0,0
"5527","disco",0,0,0,0
"5528","a",0,0,0,0
"5529","alguien",0,0,0,0
"5530","que",0,0,0,0
"5531","necesite",0,0,0,0
"5532","m",0,0,0,0
"5533","s",0,0,0,0
"5534","puede",0,0,0,0
"5535","que",0,0,0,0
"5536","se",0,0,0,0
"5537","quede",0,0,0,0
"5538","corto",0,0,0,0
"5539","sobretodo",0,0,0,0
"5540","si",0,0,0,0
"5541","quiere",0,0,0,0
"5542","hacer",0,1,0,0
"5543","la",0,0,0,0
"5544","partici",0,0,0,0
"5545","n",0,0,0,0
"5546","del",0,0,0,0
"5547","disco",0,0,0,0
"5548","para",0,0,0,0
"5549","tener",0,0,0,0
"5550","windows",0,0,0,0
"5551","trae",0,0,0,0
"5552","el",0,0,0,0
"5553","boot",0,0,0,0
"5554","camp",0,0,0,0
"5555","por",0,0,0,0
"5556","defecto",4,0,0,1
"5557","pero",0,0,0,0
"5558","con",0,0,0,0
"5559","128gb",0,0,0,0
"5560","no",0,0,0,0
"5561","lo",0,0,0,0
"5562","recomiendo",0,0,1,0
"5563","pero",0,0,0,0
"5564","si",0,0,0,0
"5565","no",0,0,0,0
"5566","es",0,0,0,0
"5567","el",0,0,0,0
"5568","caso",1,0,0,0
"5569","y",0,0,0,0
"5570","tienes",0,0,0,0
"5571","onedrive",0,0,0,0
"5572","icloud",0,0,0,0
"5573","y",0,0,0,0
"5574","o",0,0,0,0
"5575","disco",0,0,0,0
"5576","externo",0,0,0,0
"5577","no",0,0,0,0
"5578","es",0,0,0,0
"5579","mayor",0,2,0,0
"5580","problema",1,0,1,0
"5581","lo",0,0,0,0
"5582","recomiendo",0,0,1,0
"5583","para",0,0,0,0
"5584","nivel",0,1,0,0
"5585","usuario",0,0,0,0
"5586","100",0,0,0,0
"5587","recomendado",0,0,1,0
"5588","la",0,0,0,0
"5589","calidad",0,0,0,0
"5590","de",0,0,0,0
"5591","las",0,0,0,0
"5592","patas",0,0,0,0
"5593","no",0,0,0,0
"5594","se",0,0,0,0
"5595","ve",0,0,0,0
"5596","muy",1,0,0,0
"5597","buena",0,0,1,0
"5598","lleg",0,0,0,0
"5599","a",0,0,0,0
"5600","la",0,0,0,0
"5601","fecha",0,0,0,0
"5602","establecida",0,0,0,0
"5603","excelente",0,1,1,0
"5604","producto",0,0,0,0
"5605","recomendado",0,0,0,0
"5606","cama",0,0,0,0
"5607","exelente",0,0,1,0
"5608","es",0,0,0,0
"5609","genial",0,1,1,0
"5610","y",0,0,0,0
"5611","super",0,0,1,0
"5612","comeda",0,0,0,0
"5613","totalmente",0,0,0,0
"5614","recomendable",0,1,1,0
"5615","excelente",0,1,1,0
"5616","producto",0,0,0,0
"5617","cumple",0,0,1,0
"5618","con",0,0,0,0
"5619","todas",0,0,0,0
"5620","las",0,0,0,0
"5621","expectativas",0,0,0,0
"5622","horno",0,0,0,0
"5623","facil",0,0,1,0
"5624","de",0,0,0,0
"5625","usar",0,0,0,0
"5626","me",0,0,0,0
"5627","encanta",0,0,1,0
"5628","como",0,0,0,0
"5629","quedan",0,0,0,0
"5630","las",0,0,0,0
"5631","comidas",0,0,0,0
"5632","es",0,0,0,0
"5633","r",0,0,0,0
"5634","pido",0,0,0,0
"5635","y",0,0,0,0
"5636","optimiza",0,0,1,0
"5637","el",0,0,0,0
"5638","tiempo",0,0,0,0
"5639","u",0,0,0,0
"5640","2714",0,0,0,0
"5641","s",0,0,0,0
"5642","recomiendo",0,0,1,0
"5643","este",0,0,0,0
"5644","producto",0,0,0,0
"5645","compre",0,0,0,0
"5646","los",0,0,0,0
"5647","3",0,0,0,0
"5648","tonos",0,0,0,0
"5649","soy",0,0,0,0
"5650","42",0,0,0,0
"5651","y",0,0,0,0
"5652","compre",0,0,0,0
"5653","2",0,0,0,0
"5654","en",0,0,0,0
"5655","talla",0,0,0,0
"5656","40",0,0,0,0
"5657","y",0,0,0,0
"5658","me",0,0,0,0
"5659","quedaron",0,0,0,0
"5660","grandes",0,0,0,0
"5661","solo",0,0,0,0
"5662","un",0,0,0,0
"5663","poco",0,0,0,0
"5664","de",0,0,0,0
"5665","las",0,0,0,0
"5666","caderas",0,0,0,0
"5667","y",0,0,0,0
"5668","el",0,0,0,0
"5669","38",0,0,0,0
"5670","me",0,0,0,0
"5671","qued",0,0,0,0
"5672","perfecto",0,1,1,0
"5673","ya",0,0,0,0
"5674","q",0,0,0,0
"5675","son",0,0,0,0
"5676","muy",1,0,0,0
"5677","el",0,0,0,0
"5678","sticados",0,0,0,0
"5679","sobre",0,0,0,0
"5680","todo",0,0,0,0
"5681","el",0,0,0,0
"5682","blanco",0,1,0,0
"5683","el",0,0,0,0
"5684","material",0,0,0,0
"5685","del",0,0,0,0
"5686","azul",0,0,0,0
"5687","es",0,0,0,0
"5688","el",0,0,0,0
"5689","mejor",0,0,1,0
"5690","de",0,0,0,0
"5691","todos",0,0,0,0
"5692","u",0,0,0,0
"5693","2714",0,0,0,0
"5694","s",0,0,0,0
"5695","recomiendo",0,0,1,0
"5696","este",0,0,0,0
"5697","producto",0,0,0,0
"5698","muy",1,0,0,0
"5699","buen",0,0,1,0
"5700","producto",0,0,0,0
"5701","c",0,0,0,0
"5702","modo",0,0,0,0
"5703","lindo",0,1,1,0
"5704","dise",0,0,0,0
"5705","o",0,0,0,0
"5706","y",0,0,0,0
"5707","precio",0,0,0,0
"5708","excelente",0,1,1,0
"5709","para",0,0,0,0
"5710","tener",0,0,0,0
"5711","un",0,0,0,0
"5712","buen",0,0,1,0
"5713","descanso",0,0,0,0
"5714","tambi",0,0,0,0
"5715","n",0,0,0,0
"5716","el",0,0,0,0
"5717","servicio",0,0,0,0
"5718","de",0,0,0,0
"5719","despacho",0,0,0,0
"5720","muy",1,0,0,0
"5721","eficiente",0,1,1,0
"5722","rapidismo",0,0,1,0
"5723","u",0,0,0,0
"5724","2714",0,0,0,0
"5725","s",0,0,0,0
"5726","recomiendo",0,0,1,0
"5727","este",0,0,0,0
"5728","producto",0,0,0,0
"5729","no",0,0,0,0
"5730","me",0,0,0,0
"5731","arrepiento",0,0,0,1
"5732","en",0,0,0,0
"5733","haber",0,0,0,0
"5734","invertido",0,0,0,0
"5735","en",0,0,0,0
"5736","mi",0,0,0,0
"5737","cama",0,0,0,0
"5738","excelente",0,1,1,0
"5739","me",0,0,0,0
"5740","encant",0,0,0,0
"5741","muy",1,0,0,0
"5742","c",0,0,0,0
"5743","moda",0,0,0,0
"5744","muy",1,0,0,0
"5745","malo",1,0,0,1
"5746","el",0,0,0,0
"5747","calce",0,0,0,0
"5748","del",0,0,0,0
"5749","pantalon",0,0,0,0
"5750","soy",0,0,0,0
"5751","36",0,0,0,0
"5752","34",0,0,0,0
"5753","usualmente",0,0,0,0
"5754","y",0,0,0,0
"5755","me",0,0,0,0
"5756","compre",0,0,0,0
"5757","34",0,0,0,0
"5758","quedo",0,0,0,0
"5759","grande",0,0,0,0
"5760","y",0,0,0,0
"5761","super",0,0,0,0
"5762","suelto.definitivamente",0,0,0,0
"5763","mom",0,0,0,0
"5764","jeans",0,0,0,0
"5765","no",0,0,0,0
"5766","son",0,0,0,0
"5767","no",0,0,0,0
"5768","los",0,0,0,0
"5769","recomiendo",0,0,1,0
"5770","si",0,0,0,0
"5771","lo",0,0,0,0
"5772","que",0,0,0,0
"5773","buscas",0,0,0,0
"5774","en",0,0,0,0
"5775","un",0,0,0,0
"5776","mom",0,0,0,0
"5777","fit",0,0,0,0
"5778","muy",1,0,0,0
"5779","buen",0,0,1,0
"5780","producto",0,0,0,0
"5781","de",0,0,0,0
"5782","excelente",0,1,1,0
"5783","rendimiento",0,0,0,0
"5784","perfecto",0,1,0,0
"5785","estado",0,1,0,0
"5786","buen",0,0,1,0
"5787","tiempo",0,0,0,0
"5788","de",0,0,0,0
"5789","entrega",0,1,0,0
"5790","del",0,0,0,0
"5791","producto",0,0,0,0
"5792","excelente",0,1,1,0
"5793","servicio",0,0,0,0
"5794","funciona",0,0,0,0
"5795","hasta",0,0,0,0
"5796","el",0,0,0,0
"5797","d",0,0,0,0
"5798","a",0,0,0,0
"5799","de",0,0,0,0
"5800","hoy",0,0,0,0
"5801","muy",1,0,0,0
"5802","bien",0,0,1,0
"5803","mala",0,0,0,1
"5804","la",0,0,0,0
"5805","compre",0,0,0,0
"5806","para",0,0,0,0
"5807","batir",0,0,0,0
"5808","proteinas",0,0,0,0
"5809","con",0,0,0,0
"5810","hilo",0,0,0,0
"5811","no",0,0,0,0
"5812","muele",0,0,0,0
"5813","nada",1,0,0,1
"5814","de",0,0,0,0
"5815","hielo",0,0,0,0
"5816","y",0,0,0,0
"5817","ademas",0,0,0,0
"5818","me",0,0,0,0
"5819","sale",0,0,0,0
"5820","un",0,0,0,0
"5821","olor",2,0,0,0
"5822","horrible",6,0,0,1
"5823","a",0,0,0,0
"5824","quemado",1,0,0,1
"5825","la",0,0,0,0
"5826","devolvere",0,0,0,0
"5827","es",0,0,0,0
"5828","un",0,0,0,0
"5829","producto",0,0,0,0
"5830","eficiente",0,1,1,0
"5831","de",0,0,0,0
"5832","diversos",0,0,0,0
"5833","usos",0,0,0,0
"5834","y",0,0,0,0
"5835","muy",1,0,0,0
"5836","funcional",0,0,0,0
"5837","dependiendo",0,0,0,0
"5838","de",0,0,0,0
"5839","la",0,0,0,0
"5840","marca",0,0,0,0
"5841","y",0,0,0,0
"5842","el",0,0,0,0
"5843","modelo",0,1,0,0
"5844","voy",0,0,0,0
"5845","de",0,0,0,0
"5846","la",0,0,0,0
"5847","talla",0,0,0,0
"5848","38",0,0,0,0
"5849","40",0,0,0,0
"5850","cintura",0,0,0,0
"5851","80",0,0,0,0
"5852","y",0,0,0,0
"5853","caderas",0,0,0,0
"5854","94",0,0,0,0
"5855","aprox",0,0,0,0
"5856","y",0,0,0,0
"5857","si",0,0,0,0
"5858","bien",0,0,1,0
"5859","el",0,0,0,0
"5860","38",0,0,0,0
"5861","queda",0,0,0,0
"5862","bien",0,0,1,0
"5863","por",0,0,0,0
"5864","el",0,0,0,0
"5865","tipo",0,0,0,0
"5866","de",0,0,0,0
"5867","tela",0,0,0,0
"5868","el",0,0,0,0
"5869","36",0,0,0,0
"5870","tambi",0,0,0,0
"5871","n",0,0,0,0
"5872","me",0,0,0,0
"5873","habr",0,0,0,0
"5874","a",0,0,0,0
"5875","venido",0,0,0,0
"5876","asi",0,0,0,0
"5877","que",0,0,0,0
"5878","por",0,0,0,0
"5879","mi",0,0,0,0
"5880","parte",0,0,0,0
"5881","si",0,0,0,0
"5882","aconsejo",0,0,0,0
"5883","una",0,0,0,0
"5884","talla",0,0,0,0
"5885","menos",0,0,0,0
"5886","el",0,0,0,0
"5887","modelo",0,1,0,0
"5888","no",0,0,0,0
"5889","queda",0,0,0,0
"5890","tipo",0,0,0,0
"5891","mom",0,0,0,0
"5892","jeans",0,0,0,0
"5893","pero",0,0,0,0
"5894","tampoco",0,0,0,0
"5895","es",0,0,0,0
"5896","totalmente",0,0,0,0
"5897","skinny",0,0,0,0
"5898","yo",0,0,0,0
"5899","dir",0,0,0,0
"5900","a",0,0,0,0
"5901","que",0,0,0,0
"5902","es",0,0,0,0
"5903","un",0,0,0,0
"5904","punto",0,0,0,0
"5905","medio",0,0,0,0
"5906","u",0,0,0,0
"5907","2714",0,0,0,0
"5908","s",0,0,0,0
"5909","recomiendo",0,0,1,0
"5910","este",0,0,0,0
"5911","producto",0,0,0,0
"5912","para",0,0,0,0
"5913","las",0,0,0,0
"5914","que",0,0,0,0
"5915","les",0,0,0,0
"5916","sirva",0,0,0,0
"5917","este",0,0,0,0
"5918","es",0,0,0,0
"5919","modelo",0,1,0,0
"5920","molly",0,0,0,0
"5921","tiene",0,0,0,0
"5922","buen",0,0,1,0
"5923","calce",0,0,0,0
"5924","queda",0,0,0,0
"5925","super",0,0,1,0
"5926","lindo",0,1,1,0
"5927","pero",0,0,0,0
"5928","la",0,0,0,0
"5929","tela",0,0,0,0
"5930","al",0,0,0,0
"5931","ser",0,0,0,0
"5932","tan",0,0,0,0
"5933","elasticidad",0,0,0,0
"5934","con",0,0,0,0
"5935","las",0,0,0,0
"5936","posturas",0,0,0,0
"5937","va",0,0,0,0
"5938","cediendo",0,0,0,0
"5939","se",0,0,0,0
"5940","ananchan",0,0,0,0
"5941","ene",0,0,0,0
"5942","e",0,0,0,0
"5943","comprado",0,0,0,0
"5944","antes",0,0,0,0
"5945","y",0,0,0,0
"5946","termino",0,0,0,0
"5947","arreglandolos",0,0,0,0
"5948","de",0,0,0,0
"5949","tanto",0,0,0,0
"5950","que",0,0,0,0
"5951","da",0,0,0,0
"5952","la",0,0,0,0
"5953","tela",0,0,0,0
"5954","u",0,0,0,0
"5955","2714",0,0,0,0
"5956","s",0,0,0,0
"5957","recomiendo",0,0,1,0
"5958","este",0,0,0,0
"5959","producto",0,0,0,0
"5960","excelente",0,1,1,0
"5961","material",0,0,0,0
"5962","100",0,0,0,0
"5963","recomendado",0,0,1,0
"5964","u",0,0,0,0
"5965","2714",0,0,0,0
"5966","s",0,0,0,0
"5967","recomiendo",0,0,1,0
"5968","este",0,0,0,0
"5969","producto",0,0,0,0
"5970","excelente",0,1,1,0
"5971","parlante",0,0,0,0
"5972","y",0,0,0,0
"5973","env",0,0,0,0
"5974","o",0,0,0,0
"5975","en",0,0,0,0
"5976","el",0,0,0,0
"5977","d",0,0,0,0
"5978","a",0,0,0,0
"5979","acordado",0,0,0,0
"5980","recomendado",0,0,1,0
"5981","la",0,0,0,0
"5982","m",0,0,0,0
"5983","quina",0,0,0,0
"5984","es",0,0,0,0
"5985","muy",1,0,0,0
"5986","c",0,0,0,0
"5987","moda",0,0,0,0
"5988","para",0,0,0,0
"5989","hacer",0,1,0,0
"5990","el",0,0,0,0
"5991","pan",1,0,0,0
"5992","pero",0,0,0,0
"5993","el",0,0,0,0
"5994","nico",0,0,0,0
"5995","problema",1,0,0,1
"5996","qu",0,0,0,0
"5997","hay",0,0,0,0
"5998","es",0,0,0,0
"5999","que",0,0,0,0
"6000","el",0,0,0,0
"6001","pan",1,0,0,0
"6002","no",0,0,0,0
"6003","sube",0,0,0,0
"6004","lo",0,0,0,0
"6005","que",0,0,0,0
"6006","corresponde",0,0,1,0
"6007","son",0,0,0,0
"6008","muy",1,0,0,0
"6009","c",0,0,0,0
"6010","modas",0,0,0,0
"6011","y",0,0,0,0
"6012","delicadas",0,0,0,0
"6013","su",0,0,0,0
"6014","calidad",0,0,0,0
"6015","es",0,0,0,0
"6016","excelente",0,1,1,0
"6017","u",0,0,0,0
"6018","2714",0,0,0,0
"6019","s",0,0,0,0
"6020","recomiendo",0,0,0,0
"6021","este",0,0,0,0
"6022","producto",0,0,0,0
"6023","publicada",0,0,0,0
"6024","originalmente",0,0,0,0
"6025","en",0,0,0,0
"6026","adidas.com",0,0,0,0
"6027","muy",1,0,0,0
"6028","buen",0,0,1,0
"6029","sonido",0,0,0,0
"6030","pero",0,0,0,0
"6031","el",0,0,0,0
"6032","t",0,0,0,0
"6033","ctil",0,0,0,0
"6034","es",0,0,0,0
"6035","muy",1,0,0,0
"6036","delicado",0,0,0,0
"6037","por",0,0,0,0
"6038","cualquier",0,0,0,0
"6039","cosa",0,0,0,0
"6040","se",0,0,0,0
"6041","desconecta",0,0,0,0
"6042","u",0,0,0,0
"6043","2714",0,0,0,0
"6044","s",0,0,0,0
"6045","recomiendo",0,0,1,0
"6046","este",0,0,0,0
"6047","producto",0,0,0,0
"6048","se",0,0,0,0
"6049","descompuso",0,0,1,0
"6050","el",0,0,0,0
"6051","que",0,0,0,0
"6052","tenia",0,0,0,0
"6053","y",0,0,0,0
"6054","compre",0,0,0,0
"6055","el",0,0,0,0
"6056","mismo",0,0,0,0
"6057","me",0,0,0,0
"6058","gusta",0,0,1,0
"6059","mucho",0,0,0,0
"6060","u",0,0,0,0
"6061","2714",0,0,0,0
"6062","s",0,0,0,0
"6063","recomiendo",0,0,1,0
"6064","este",0,0,0,0
"6065","producto",0,0,0,0
"6066","ideal",0,0,1,0
"6067","r",0,0,0,0
"6068","pido",0,0,0,0
"6069","liviano",0,0,0,0
"6070","hay",0,0,0,0
"6071","accesorios",0,0,0,0
"6072","por",0,0,0,0
"6073","doquier",0,0,0,0
"6074","compatibles",0,0,0,0
"6075","el",0,0,0,0
"6076","tema",0,0,0,0
"6077","del",0,0,0,0
"6078","disco",0,0,0,0
"6079","no",0,0,0,0
"6080","se",0,0,0,0
"6081","nota",0,0,0,0
"6082","si",0,0,0,0
"6083","tienes",0,0,0,0
"6084","una",0,0,0,0
"6085","unidad",0,1,0,0
"6086","externa",0,0,0,0
"6087","que",0,0,0,0
"6088","puede",0,0,0,0
"6089","ser",0,0,0,0
"6090","incluso",0,0,0,0
"6091","una",0,0,0,0
"6092","tarjeta",0,0,0,0
"6093","sd",0,0,0,0
"6094","es",0,0,0,0
"6095","una",0,0,0,0
"6096","excelente",0,1,1,0
"6097","compra",0,0,0,0
"6098","sin",0,0,0,0
"6099","dudar",0,0,0,1
"6100","soy",0,0,0,0
"6101","34",0,0,0,0
"6102","36",0,0,0,0
"6103","compre",0,0,0,0
"6104","el",0,0,0,0
"6105","36",0,0,0,0
"6106","y",0,0,0,0
"6107","me",0,0,0,0
"6108","quedo",0,0,0,0
"6109","grande",0,0,0,0
"6110","es",0,0,0,0
"6111","mas",0,0,0,0
"6112","estilo",0,1,0,0
"6113","boyfriend",0,0,0,0
"6114","que",0,0,0,0
"6115","mom",0,0,0,0
"6116","s",0,0,0,0
"6117","per",0,0,0,0
"6118","buen",0,0,1,0
"6119","producto",0,0,0,0
"6120","el",0,0,0,0
"6121","spiedo",0,0,0,0
"6122","es",0,0,0,0
"6123","genial",0,1,1,0
"6124","hay",0,0,0,0
"6125","que",0,0,0,0
"6126","ponerle",0,0,0,0
"6127","papel",0,0,0,0
"6128","aluminio",0,0,0,0
"6129","en",0,0,0,0
"6130","la",0,0,0,0
"6131","bandeja",0,0,0,0
"6132","de",0,0,0,0
"6133","abajo",0,0,0,0
"6134","para",0,0,0,0
"6135","que",0,0,0,0
"6136","dure",0,0,0,0
"6137","m",0,0,0,0
"6138","s",0,0,0,0
"6139","el",0,0,0,0
"6140","colch",0,0,0,0
"6141","n",0,0,0,0
"6142","es",0,0,0,0
"6143","muy",1,0,1,0
"6144","bueno",0,3,0,0
"6145","fue",0,0,0,0
"6146","una",0,0,0,0
"6147","gran",0,0,1,0
"6148","compra",0,0,0,0
"6149","es",0,0,0,0
"6150","muy",1,0,0,0
"6151","c",0,0,0,0
"6152","modo",0,0,0,0
"6153","y",0,0,0,0
"6154","se",0,0,0,0
"6155","descansa",0,0,0,0
"6156","bastante",0,1,0,0
"6157","bien",0,0,1,0
"6158","muy",1,0,0,0
"6159","c",0,0,0,0
"6160","modo",0,0,0,0
"6161","dorm",0,0,0,0
"6162","como",0,0,0,0
"6163","beb",0,0,0,0
"6164","adem",0,0,0,0
"6165","s",0,0,0,0
"6166","que",0,0,0,0
"6167","es",0,0,0,0
"6168","es",0,0,0,0
"6169","muy",1,0,0,0
"6170","liviana",0,0,0,0
"6171","u",0,0,0,0
"6172","2714",0,0,0,0
"6173","s",0,0,0,0
"6174","recomiendo",0,0,1,0
"6175","este",0,0,0,0
"6176","producto",0,0,0,0
"6177","calza",0,0,0,0
"6178","perfecto",0,1,1,0
"6179","es",0,0,0,0
"6180","c",0,0,0,0
"6181","modo",0,0,0,0
"6182","y",0,0,0,0
"6183","muy",1,0,0,0
"6184","lindo",0,1,1,0
"6185","podr",0,0,0,0
"6186","an",0,0,0,0
"6187","reponer",0,1,1,0
"6188","las",0,0,0,0
"6189","tallas",0,0,0,0
"6190","en",0,0,0,0
"6191","color",0,0,0,0
"6192","blanco",0,1,0,0
"6193","me",0,0,0,0
"6194","encanta",0,0,1,0
"6195","y",0,0,0,0
"6196","lo",0,0,0,0
"6197","quiero",0,0,0,0
"6198","en",0,0,0,0
"6199","este",0,0,0,0
"6200","color",0,0,0,0
"6201","no",0,0,0,0
"6202","es",0,0,0,0
"6203","una",0,0,0,0
"6204","tela",0,0,0,0
"6205","de",0,0,0,0
"6206","buena",0,0,1,0
"6207","calidad",0,0,0,0
"6208","los",0,0,0,0
"6209","llevo",0,0,0,0
"6210","utilizando",0,0,0,0
"6211","3",0,0,0,0
"6212","semanas",0,0,0,0
"6213","y",0,0,0,0
"6214","ya",0,0,0,0
"6215","se",0,0,0,0
"6216","me",0,0,0,0
"6217","gasto",1,0,0,0
"6218","en",0,0,0,0
"6219","la",0,0,0,0
"6220","entrepierna",0,0,0,0
"6221","a",0,0,0,0
"6222","parte",0,0,0,0
"6223","de",0,0,0,0
"6224","eso",0,0,0,0
"6225","son",0,0,0,0
"6226","c",0,0,0,0
"6227","modos",0,0,0,0
"6228","para",0,0,0,0
"6229","el",0,0,0,0
"6230","uso",0,0,0,0
"6231","diario",0,1,0,0
"6232","y",0,0,0,0
"6233","la",0,0,0,0
"6234","tela",0,0,0,0
"6235","es",0,0,0,0
"6236","el",0,0,0,0
"6237","stica",0,0,0,0
"6238","u",0,0,0,0
"6239","2714",0,0,0,0
"6240","s",0,0,0,0
"6241","recomiendo",0,0,1,0
"6242","este",0,0,0,0
"6243","producto",0,0,0,0
"6244","cumpli",0,0,1,0
"6245","con",0,0,0,0
"6246","todas",0,0,0,0
"6247","mis",0,0,0,0
"6248","expectativas",0,0,0,0
"6249","c",0,0,0,0
"6250","modo",0,0,0,0
"6251","suave",0,0,0,0
"6252","y",0,0,0,0
"6253","liviano",0,0,0,0
"6254","u",0,0,0,0
"6255","2714",0,0,0,0
"6256","s",0,0,0,0
"6257","recomiendo",0,0,1,0
"6258","este",0,0,0,0
"6259","producto",0,0,0,0
"6260","la",0,0,0,0
"6261","m",0,0,0,0
"6262","u",0,0,0,0
"6263","fffd",0,0,0,0
"6264","quina",0,0,0,0
"6265","es",0,0,0,0
"6266","perfecta",0,0,1,0
"6267","yo",0,0,0,0
"6268","hago",0,0,0,0
"6269","en",0,0,0,0
"6270","el",0,0,0,0
"6271","programa",0,0,0,0
"6272","r",0,0,0,0
"6273","u",0,0,0,0
"6274","fffd",0,0,0,0
"6275","pido",0,0,0,0
"6276","el",0,0,0,0
"6277","7",0,0,0,0
"6278","una",0,0,0,0
"6279","mezcla",0,0,0,0
"6280","de",0,0,0,0
"6281","harina",0,0,0,0
"6282","normal",0,0,0,0
"6283","y",0,0,0,0
"6284","integraly",0,0,0,0
"6285","queda",0,0,0,0
"6286","un",0,0,0,0
"6287","pan",1,0,0,0
"6288","s",0,0,0,0
"6289","u",0,0,0,0
"6290","fffd",0,0,0,0
"6291","per",0,0,0,0
"6292","rico",0,0,0,0
"6293","y",0,0,0,0
"6294","esponjoso",0,0,0,0
"6295","10084",0,0,0,0
"6296","65039",0,0,0,0
"6297","10084",0,0,0,0
"6298","65039",0,0,0,0
"6299","favor",0,0,0,0
"6300","quien",0,0,0,0
"6301","la",0,0,0,0
"6302","tenga",0,0,0,0
"6303","me",0,0,0,0
"6304","da",0,0,0,0
"6305","esa",0,0,0,0
"6306","informaci",0,0,0,0
"6307","n",0,0,0,0
"6308","hace",0,0,0,0
"6309","4",0,0,0,0
"6310","meses",0,0,0,0
"6311","compre",0,0,0,0
"6312","esta",0,0,0,0
"6313","cama",0,0,0,0
"6314","hoy",0,0,0,0
"6315","al",0,0,0,0
"6316","sentarse",0,0,0,0
"6317","mi",0,0,0,0
"6318","hijo",0,0,0,0
"6319","a",0,0,0,0
"6320","la",0,0,0,0
"6321","orilla",0,0,0,0
"6322","o",0,0,0,0
"6323","borde",1,0,0,0
"6324","cruji",0,0,0,0
"6325","fuerte",0,0,0,0
"6326","al",0,0,0,0
"6327","revisar",0,1,0,0
"6328","me",0,0,0,0
"6329","di",0,0,0,0
"6330","cuenta",0,0,0,0
"6331","que",0,0,0,0
"6332","se",0,0,0,0
"6333","quebr",0,0,0,0
"6334","al",0,0,0,0
"6335","parecer",0,0,0,0
"6336","justo",0,1,0,0
"6337","en",0,0,0,0
"6338","un",0,0,0,0
"6339","nudo",0,0,0,0
"6340","de",0,0,0,0
"6341","la",0,0,0,0
"6342","madera",0,0,0,0
"6343","larguero",0,0,0,0
"6344","vere",0,0,0,0
"6345","si",0,0,0,0
"6346","la",0,0,0,0
"6347","garantia",0,0,0,0
"6348","cubre",0,0,0,0
"6349","esto",0,0,0,0
"6350","es",0,0,0,0
"6351","liviana",0,0,0,0
"6352","la",0,0,0,0
"6353","bater",0,0,0,0
"6354","a",0,0,0,0
"6355","dura",0,0,0,0
"6356","un",0,0,0,0
"6357","mont",0,0,0,0
"6358","n",0,0,0,0
"6359","y",0,0,0,0
"6360","es",0,0,0,0
"6361","muy",1,0,0,0
"6362","f",0,0,0,0
"6363","cil",0,0,0,0
"6364","de",0,0,0,0
"6365","transportar",0,0,0,0
"6366","recomiendo",0,0,1,0
"6367","comprarle",0,0,0,0
"6368","un",0,0,0,0
"6369","protector",1,3,0,0
"6370","u",0,0,0,0
"6371","2714",0,0,0,0
"6372","s",0,0,0,0
"6373","recomiendo",0,0,1,0
"6374","este",0,0,0,0
"6375","producto",0,0,0,0
"6376","son",0,0,0,0
"6377","muy",1,0,0,0
"6378","c",0,0,0,0
"6379","modos",0,0,0,0
"6380","exactamente",0,0,0,0
"6381","del",0,0,0,0
"6382","color",0,0,0,0
"6383","de",0,0,0,0
"6384","la",0,0,0,0
"6385","foto",0,0,0,0
"6386","y",0,0,0,0
"6387","se",0,0,0,0
"6388","ajusta",0,0,0,0
"6389","muy",1,0,1,0
"6390","bien",0,0,1,0
"6391","al",0,0,0,0
"6392","cuerpo",0,0,0,0
"6393","u",0,0,0,0
"6394","2714",0,0,0,0
"6395","s",0,0,0,0
"6396","recomiendo",0,0,1,0
"6397","este",0,0,0,0
"6398","producto",0,0,0,0
"6399","el",0,0,0,0
"6400","horno",0,0,0,0
"6401","me",0,0,0,0
"6402","fall",0,0,0,0
"6403","al",0,0,0,0
"6404","primer",0,0,0,0
"6405","a",0,0,0,0
"6406","o",0,0,0,0
"6407","de",0,0,0,0
"6408","uso",0,0,0,0
"6409","los",0,0,0,0
"6410","quemadores",0,0,0,0
"6411","superiores",0,0,0,0
"6412","y",0,0,0,0
"6413","he",0,0,0,0
"6414","le",0,0,0,0
"6415","do",0,0,0,0
"6416","muchos",0,0,0,0
"6417","comentarios",0,0,0,0
"6418","en",0,0,0,0
"6419","relaci",0,0,0,0
"6420","n",0,0,0,0
"6421","a",0,0,0,0
"6422","eso",0,0,0,0
"6423","la",0,0,0,0
"6424","verdad",0,1,0,0
"6425","es",0,0,0,0
"6426","que",0,0,0,0
"6427","desarme",0,0,0,0
"6428","el",0,0,0,0
"6429","horno",0,0,0,0
"6430","y",0,0,0,0
"6431","descubr",0,0,0,0
"6432","que",0,0,0,0
"6433","el",0,0,0,0
"6434","primer",0,0,0,0
"6435","conector",0,0,0,0
"6436","estaba",0,0,0,0
"6437","un",0,0,0,0
"6438","poco",0,0,0,0
"6439","sulfatado",0,0,0,0
"6440","y",0,0,0,0
"6441","desconectado",1,0,0,0
"6442","ya",0,0,0,0
